,name,district
0,احد آزادی خواه,ملاير
1,محمد آشوری تازیانی,بندرعباس ،قشم، ابوموسي، حاجي آباد و خمير
2,معصومه آقاپورعلی شاهی,شبستر
3,ژرژیک ابرامیان,مسيحيان ارمني جنوب ايران
4,علی ابراهیمی,شازند
5,علیرضا ابراهیمی,راميان و آزادشهر
6,سیدمحمدجواد ابطحی,خميني شهر
7,ابوالفضل ابوترابی,نجف آباد و تيران و كرون
8,فریدون  احمدی,زنجان و طارم
9,قاسم احمدی لاشکی,نوشهر، چالوس و كلاردشت
10,اسفندیار اختیاری کسنویه یزد,زرتشتيان
11,سیدعلی ادیانی ,قائم شهر ،سوادكوه ،جويبار سیمرغ و سوادکوه شمالی
12,علی اردشیرلاریجانی,قم
13,علی  اسدی کرم,شهر بابك
14,علی  اسماعیلی,نور و محمودآباد
15,داریوش اسمعیلی,سروستان و كوار و خرامه
16,ضیاداله اعزازی ملکی,بناب
17,محمدمهدی افتخاری,فومن و شفت 
18,نظر  افضلی,نهبندان و سربيشه 
19,سیدحسین افضلی,اقليد
20,سکینه  الماسی,دیر، کنگان وجم و عسلویه
21,قلی اله قلی زاده,كليبر، خداآفرين و بخش هوراند
22,احمد امیر آبادی فراهانی,قم
23,محمدرضا امیرحسنخانی,فردوس و سرايان و طبس و بشرويه
24,حسین امیری ‌خامکانی,زرند و كوهبنان
25,سیدحمزه امینی,هشترود و چاراويماق
26,سلام امینی,ايلام، ايوان، چرداول، مهران و ملكشاهي و سیروان
27,محمد نعیم امینی فرد,ايرانشهر، سرباز، دلگان، فنوج ، لاشار، بنت، آشار و آهوران
28,احمد   انارکی محمدی,رفسنجان و انار
29,رضا انصاری,داراب و زرين دشت
30,فریده اولادقباد,تهران، شميرانات، ری، اسلامشهر و پردیس
31,علی اکبری بجنورد,بجنورد، مانه، سملقان، جاجرم، گرمه، راز و جرگلان
32,علی اکبری شیراز,شيراز
33,عزیز اکبریان,كرج ، اشتهارد و فردیس
34,عبدالغفور ایران ‌نژاد,چابهار، نيك شهر، كنارك و قصرقند
35,روح اله بابائی صالح,بوئين زهرا و آوج
36,محمدرضا بادامچی,تهران، شميرانات، ری، اسلامشهر و پردیس
37,سعید باستانی,تربت حيدريه و مه ولات و زاوه
38,یوناتن بت کلیا,مسيحيان آشوري و كلداني
39,علی بختیار گلپایگانی,گلپايگان و خوانسار
40,علی  بختیاری,بافت و رابر و ارزوئيه
41,صدیف بدری,اردبيل و نمين و نير و سرعين
42,شهروز برزگر کلشانی,سلماس
43,علاءالدین بروجردی,بروجرد
44,محمدمهدی برومندی,مرودشت و پاسارگاد و ارسنجان
45,حمید بنائی,گناباد و بجستان
46,بهروز بنیادی ,كاشمر و بردسكن و خليل آباد
47,سیدهادی بهادری,اروميه
48,حسن بهرام نیا,نهاوند
49,محمود  بهمنی,ساوجبلاغ و نظرآباد و طالقان
50,محمد بیرانوندی,خرم‌آباد و دوره
51,شهاب الدین بیمقدار,تبريز و آذرشهر و اسكو
52,احمد بیگدلی,خدابنده
53,محسن بیگلری,سقز و بانه
54,محمدرضا تابش,اردكان
55,ناهید تاج الدین,اصفهان
56,غلامرضا تاج گردون,گچساران و باشت
57,فرهاد تجری,قصرشيرين، سرپل ذهاب، گيلانغرب
58,نورمحمد تربتی نژاد,گرگان و آق قلا
59,اکبر  ترکی,فريدن و چادگان، فريدونشهر، بوئین و میاندشت
60,سیدقاسم جاسمی,كرمانشاه
61,غلامعلی جعفرزاده ایمن آبادی,رشت
62,جمشید جعفرپور,لارستان و خنج و گراش
63,کاظم جلالی,تهران، شميرانات، ری، اسلامشهر و پردیس
64,سهیلا جلودارزاده,تهران، شميرانات، ری، اسلامشهر و پردیس
65,علی جلیلی شیشوان,مراغه وعجب شير
66,منوچهر جمالی سوسفی,رودبار
67,محمدجواد جمالی نوبندگانی,فسا
68,عبداله حاتمیان,درگز
69,حسینعلی حاجی,شاهين شهر و ميمه و برخوار
70,حمیدرضا حاجی بابائی,همدان و فامنين
71,ابوالفضل حسن بیگی,دامغان
72,محمد حسن نژاد,مرند و جلفا
73,شهباز حسن پوربیگلری,سيرجان و بردسير
74,فریدون حسنوند,انديمشك
75,محمدصادق حسنی جوریابی,رشت
76,عبدالکریم حسین زاده,نقده و اشنويه
77,محمدحسین حسین زاده بحرینی,مشهد و كلات
78,سیده فاطمه حسینی,تهران، شميرانات، ری، اسلامشهر و پردیس
79,محمد حسینی,تفرش و آشتيان و فراهان
80,سیدحسن حسینی شاهرودی,شاهرود و ميامي
81,سیدجواد حسینی کیا,سنقر
82,روح اله حضرت پورطلاتپه,اروميه
83,الیاس حضرتی,تهران، شميرانات، ری، اسلامشهر و پردیس
84,احمد  حمزه,كهنوج و منوجان و رودبارجنوب و قلعه گنج و فارياب
85,غلامرضا حیدری,تهران، شميرانات، ری، اسلامشهر و پردیس
86,سیدمرتضی خاتمی,ماهنشان و ايجرود و دهستانهاي بوغداكندي و قلتوق
87,سیدعلاءالدین خادم,سپيدان
88,هدایت اله خادمی,ايذه و باغملك
89,محمد  خالدی سردشتی,لردگان
90,بشیر خالقی,خلخال و كوثر
91,کارن خانلری,مسيحيان ارمني شمال ايران
92,امیر خجسته,همدان و فامنين
93,محمد خدابخشی,اليگودرز
94,سلمان خدادادی,ملكان
95,عبدالحمید خدری,بوشهر و گناوه و ديلم
96,حسن خسته بند,بندرانزلي
97,رسول خضری,پيرانشهر و سردشت
98,ولی داداشی,آستارا
99,محمد دامادی,ساري و ميان‌دورود
100,یوسف  داودی,سراب
101,محمد باسط درازهی,سراوان ، سيب، سوران و مهرستان
102,سیدکاظم دلخوش اباتری,صومعه سرا
103,کمال دهقانی فیروزآبادی,تفت و ميبد
104,محمد دهقانی نقندر,چناران ، طرقبه و شاندیز
105,حبیب‌ الله دهمرده,زابل، زهك، هيرمند و نیمروز و هامون 
106,سیدمصطفی ذوالقدر,ميناب و رودان و جاسك و سيريك و بشاگرد
107,سیده فاطمه ذوالقدر,تهران، شميرانات، ری، اسلامشهر و پردیس
108,مجتبی ذوالنوری,قم
109,خدیجه ربیعی فرادنبه,بروجن
110,فرج اله رجبی,شيراز
111,علیرضا رحیمی,تهران، شميرانات، ری، اسلامشهر و پردیس
112,جلیل رحیمی جهان آبادی,تربت‌جام و تايباد و باخرز
113,علی  رستمیان,دلفان و سلسله
114,محمدابراهیم رضائی,خمين
115,مسعود رضائی,شيراز
116,حسین رضازاده,كازرون
117,محمدرضا رضایی کوچی,جهرم
118,عبداله رضیان,قائم شهر ،سوادكوه ،جويبار سیمرغ و سوادکوه شمالی
119,اکبر رنجبرزاده,اسدآباد
120,رحیم زارع,آباده، بوانات و خرم بيد
121,غلام محمد زارعی,بويراحمد و دنا
122,محمدمهدی زاهدی,كرمان و راور
